	TCGA-A1-A0SP-01	TCGA-A1-A0SB-01	TCGA-A1-A0SM-01	TCGA-A1-A0SO-01	TCGA-A1-A0SK-01	TCGA-A1-A0SF-01	TCGA-A1-A0SQ-01	TCGA-A1-A0SN-01	TCGA-A1-A0SG-01	TCGA-A1-A0SE-01	TCGA-A1-A0SH-01	TCGA-A1-A0SD-01	TCGA-A1-A0SI-01	TCGA-A1-A0SJ-01
PBX3	960	605	827	128	4463	669	1093	1795	923	976	1153	1504	2292	835
PBX4	70	32	11	63	99	44	31	30	14	9	10	17	43	25
PBXIP1	5119	7971	24021	9953	3233	7056	12724	10702	7593	15473	10743	12652	15232	7812
PCA3	1	0	0	1	2	0	0	0	0	0	0	2	0	0
PCBD1	2219	1301	4051	1870	2493	3907	2710	1973	2898	3149	2533	4966	2441	1765
PCBD2	424	668	1080	357	592	757	1043	1239	936	1421	728	1546	666	1002
PCBP1	19784	12158	21125	20332	24203	20043	18914	22780	22584	24341	16543	21370	19709	19467
PCBP2	32642	27406	28138	21502	59559	38923	21698	41842	25924	42467	27935	30178	29744	21931
PCBP3	17	8	89	2	2308	43	9	46	18	19	46	81	17	47
PCBP4	1651	1876	2851	4584	3365	1189	772	1762	1308	1781	1263	1499	2035	1025
PCCA	238	937	1503	1624	912	1022	664	816	1126	817	1165	809	1060	788
PCCB	3324	1890	3728	8756	3546	3546	2298	4028	4984	3888	6534	4316	7895	2290
PCDH10	230	26	20	6	77	6	1	8	5	9	140	62	145	7
PCDH11X	197	46	3	0	81	3	0	75	5	32	39	13	6	8
PCDH11Y	7	1	1	0	3	0	0	1	0	0	1	0	0	0
PCDH12	611	309	1259	623	514	698	1296	1190	892	952	980	1953	1431	710
PCDH15	1	1	1	0	1	0	0	1	0	0	0	0	2	2
PCDH17	465	68	837	464	564	143	800	963	435	466	741	1646	726	405
PCDH18	792	1571	1156	1614	268	1892	816	1319	1033	2450	3780	2130	3074	1722
PCDH19	362	586	337	17	138	107	151	330	425	567	2958	1578	1128	435
PCDH1	2300	2492	5563	867	3454	6184	3769	15721	5325	12588	3959	6717	4489	4711
PCDH20	78	49	46	67	2893	30	33	182	6	176	40	30	43	198
PCDH7	822	578	2062	107	174	770	232	2286	1494	1710	4797	2030	4729	1821
PCDH8	391	35	1	8	522	0	3	2	2	11	3	0	2	1
PCDH9	57	129	33	2	49	21	84	24	53	25	42	32	35	73
